[2025-11-10 03:50:59,628: INFO: main: Welcome to our custom log]
[2025-11-10 03:54:57,212: INFO: main: Welcome to our custom log]
[2025-11-14 09:18:58,133: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-14 09:18:58,142: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-14 09:18:58,145: INFO: common: Created directory at: artifacts]
[2025-11-14 09:18:58,146: INFO: common: Created directory at: artifacts/data_ingestion]
[2025-11-14 09:18:58,147: INFO: 704118968: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-11-14 09:19:04,657: INFO: 704118968: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-11-28 16:40:22,533: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-11-28 16:40:22,535: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-28 16:40:22,535: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-28 16:40:22,536: INFO: common: Created directory at: artifacts]
[2025-11-28 16:40:22,536: INFO: common: Created directory at: artifacts/data_ingestion]
[2025-11-28 16:40:22,536: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-11-28 16:40:42,146: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-11-28 16:40:42,656: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
